k,Easting,Northing,Latitude(DDD.DDDD),Longitude(DDD.DDDD)
1-EGPGGPDSPB,834348,821143,22.32932365,114.1582376
1-EGPGGPDSPD,835273,821014,22.32815948,114.1672163
1-EGPGPPEEPG,834789,821392,22.3315727,114.162518
1-EGPGPPGRPG,834899,821393,22.33158182,114.1635857
1-EGPGPPGXPS,833792,822232,22.33915724,114.152839
1-EGPKBPARPG,834640,821192,22.32976645,114.1610719
1-EGPKGPWXPD,835099,820880,22.32694928,114.1655275
1-EGPKPPBXPG,834594,820838,22.32656958,114.1606257
1-EGPKPPYSPD,835123,821316,22.33088663,114.1657601
1-EGPKWPKXPD,834668,820848,22.32665995,114.161344
1-EGPKWPSAPG,834854,821336,22.33106704,114.163149
1-EGPKWPSXPY,835862,821177,22.32963171,114.1729335
1-EGPPBPEAPD,834974,821196,22.32980285,114.1643139
1-EGPPBPWYPG,834695,821180,22.32965813,114.1616058
1-EGPPGPDXPD,835296,820978,22.3278344,114.1674396
1-EGPPGPGXPD,835023,821116,22.32908044,114.1647896
1-EGPPGPKSPD,834765,820933,22.32742764,114.1622855
1-EGPPPPKEPD,834904,820969,22.32775286,114.1636346
1-EGPPWAPAPK,834487,821931,22.33643989,114.1595859
1-EGPPWAPJPG,835014,821388,22.33153675,114.164702
1-EGPPWAPXPB,834627,821535,22.33286392,114.1609453
1-EGPPWAPXPD,835218,820592,22.32434854,114.1666827
1-EGPPWBPEPK,834298,822087,22.33784846,114.1577511
1-EGPPWBPHPK,834139,822104,22.33800179,114.1562076
1-EGPPWBPJPS,833786,822189,22.33876891,114.1527808
1-EGPPWBPXPB,834614,821458,22.33216856,114.1608192
1-EGPPWBPXPD,835229,821250,22.33029068,114.1667891
1-EGPPWBPXPG,834558,821285,22.33060621,114.1602758
1-EGPPWDPHPK,834209,822089,22.33786642,114.1568871
1-EGPPWDPXPB,834591,821643,22.33383919,114.1605958
1-EGPPWDPXPD,835384,820856,22.32673271,114.1682938
1-EGPPWDPXPG,834605,820922,22.32732816,114.1607324
1-EGPPWEPAPK,834444,821888,22.33605153,114.1591686
1-EGPPWEPHPK,833887,822335,22.34008752,114.153761
1-EGPPWEPJPG,834581,820827,22.32647023,114.1604996
1-EGPPWEPJPS,834604,821809,22.33533828,114.1607218
1-EGPPWEPXPB,834212,821135,22.32925125,114.1569175
1-EGPPWEPXPD,835033,821479,22.33235855,114.1648864
1-EGPPWEPXPG,834348,821033,22.32833028,114.1582377
1-EGPPWGPEPK,834639,821767,22.33495903,114.1610616
1-EGPPWGPHPK,834074,822337,22.34010583,114.1555763
1-EGPPWGPJPS,833987,822313,22.33988898,114.1547318
1-EGPPWGPXPB,834414,821791,22.33517554,114.1588775
1-EGPPWGPXPD,835203,821243,22.33022745,114.1665367
1-EGPPWGPXPG,833800,822174,22.33863348,114.1529168
1-EGPPWKPEPE,833611,821288,22.3306321,114.1510835
1-EGPPWKPEPK,834021,822316,22.33991612,114.1550619
1-EGPPWKPXPB,834396,821808,22.33532904,114.1587027
1-EGPPWKPXPD,835320,820916,22.32727451,114.1676726
1-EGPPWKPXPG,834532,820865,22.32681334,114.1600239
1-EGPPWPDJPG,834334,821026,22.32826705,114.1581018
1-EGPPWPPEPG,834892,821388,22.33153666,114.1635178
1-EGPPWPPHPK,834090,822251,22.33932922,114.1557318
1-EGPPWPPJPS,834409,821961,22.33671073,114.1588287
1-EGPPWPPOPG,834830,821208,22.32991111,114.1629161
1-EGPPWSPEPK,834613,821792,22.33518477,114.1608092
1-EGPPWSPHPK,834423,821865,22.33584381,114.1589648
1-EGPPWSPJPG,834550,820851,22.32668693,114.1601986
1-EGPPWSPJPS,833803,822345,22.34017771,114.1529456
1-EGPPWSPXPD,835185,821210,22.32992943,114.166362
1-EGPPWSPXPG,834466,821090,22.32884516,114.159383
1-EGPPWSPXPY,835907,821507,22.33261181,114.1733702
1-EGPPWWPXPG,835047,821421,22.33183479,114.1650223
1-EGPPWYPHPK,834649,821793,22.33519383,114.1611586
1-EGPPWYPXPB,834271,821115,22.3290707,114.1574902
1-EGPPWYPXPG,834937,821438,22.33198823,114.1639546
1-EGPPWYPXPS,834454,821871,22.33589803,114.1592657
1-EGPSBPPHPG,834720,821284,22.33059733,114.1618483
1-EGPSGPAXPD,834887,820940,22.32749096,114.1634696
1-EGPSGPBOPY,836062,821266,22.33043546,114.1748748
1-EGPSPPEJPD,834986,821151,22.32939649,114.1644304
1-EGPSPPSSPD,835360,820856,22.3267327,114.1680609
1-EGPSPPYRPY,836138,821442,22.33202485,114.1756125
1-EGPSWPWAPD,834876,821071,22.32867395,114.1633628
1-EGPWBPDRPG,834928,821549,22.33299061,114.1638671
1-EGPWGPGRPG,834692,821033,22.32833063,114.1615768
1-EGPWGPKSPD,,,Invalid Input,
1-EGPWPPAXPG,834420,821041,22.32840261,114.1589366
1-EGPWPPBAPG,834626,820881,22.32695792,114.1609363
1-EGPWPPBAPS,833790,822267,22.33947331,114.1528195
1-EGPWPPDSPD,834898,820905,22.32717489,114.1635764
1-EGPWPPPXPK,834662,821856,22.33576277,114.1612848
1-EGPWPPSAPK,834287,822014,22.33718921,114.1576444
1-EGPWPPWOPG,834390,821090,22.32884507,114.1586453
1-EGPWWPAVPD,834908,820966,22.32772577,114.1636735
1-EGPWWPSSPG,834829,821363,22.33131085,114.1629063
1-EGPYBPDVPG,834944,821536,22.33287323,114.1640224
1-EGPYBPWXPY,835972,821317,22.33089601,114.1740012
1-EGPYBPYAPD,835215,821216,22.32998363,114.1666532
1-EGPYGPPAPG,834962,821541,22.33291839,114.1641971
1-EGPYPPBXPY,835956,821156,22.32944209,114.1738459
1-EGPYPPGJPS,833797,822229,22.33913015,114.1528875
1-EGPYPPGXPD,835266,821184,22.32969468,114.1671483
1-EGPYWPDRPK,834383,821841,22.33562703,114.1585765
1-EGPYWPGAPG,834717,821053,22.32851127,114.1618194
1-EGSABPWVPY,835947,821429,22.33190743,114.1737585
1-EGSAGPBRPD,835125,821411,22.33174453,114.1657795
1-EGSAGPSVPG,834806,821337,22.33107603,114.1626831
1-EGSAGPYXPG,834509,821007,22.32809566,114.1598005
1-EGSAWPDVPG,834988,821352,22.33121163,114.1644497
1-EGSAWPGJPB,834284,821073,22.32869144,114.1576164
1-EGSAWPYYPD,834739,820863,22.32679548,114.1620332
1-EGSBBPEXPY,836023,821206,22.32989363,114.1744962
1-EGSBBPEYPG,834775,821492,22.33247574,114.162382
1-EGSBBPKXPK,834708,821546,22.33296334,114.1617316
1-EGSBBPSXPK,834050,822216,22.3390131,114.1553435
1-EGSBGPBSPD,835174,820843,22.32661519,114.1662555
1-EGSBGPEJPS,833769,822161,22.33851603,114.1526158
1-EGSBGPKJPB,834334,821113,22.32905272,114.1581017
1-EGSBGPWRPG,834579,821270,22.33047077,114.1604797
1-EGSBPPWRPD,835141,821349,22.33118465,114.1659348
1-EGSDBPSSPG,834894,821253,22.33031753,114.1635373
1-EGSDGPGVPG,834703,821023,22.32824034,114.1616836
1-EGSDPPWXPK,834252,822011,22.33716208,114.1573047
1-EGSDWPAOPD,834915,820960,22.32767159,114.1637414
1-EGSDWPDJPK,834379,821838,22.33559994,114.1585377
1-EGSEBPAVPG,834651,821183,22.32968518,114.1611787
1-EGSEBPKHPB,834257,821124,22.32915196,114.1573543
1-EGSEGPBXPK,834754,821715,22.33448954,114.1621779
1-EGSEGPGAPG,835020,821489,22.33244885,114.1647602
1-EGSEGPWRPB,834671,821492,22.33247565,114.1613725
1-EGSEPPERPD,834982,821155,22.3294326,114.1643916
1-EGSEPPWJPD,835155,821336,22.33106726,114.1660707
1-EGSEWPARPD,834939,820939,22.32748197,114.1639744
1-EGSEWPKVPD,834661,820835,22.32654255,114.1612761
1-EGSGBPAYPG,834606,821227,22.33008249,114.1607418
1-EGSGGPBYPY,835997,821283,22.33058898,114.1742438
1-EGSGPPBRPB,834302,821138,22.32927844,114.1577911
1-EGSGPPBXPD,834772,820964,22.32770759,114.1623534
1-EGSGWPDSPK,834374,821833,22.33555478,114.1584891
1-EGSGWPGYPG,834726,821044,22.32843,114.1619068
1-EGSKBPARPD,834918,820913,22.32724715,114.1637706
1-EGSKBPSRPK,834052,822211,22.33896795,114.1553629
1-EGSKPPKAPG,834817,821479,22.33235838,114.1627897
1-EGSKWPGEPG,834493,821186,22.32971212,114.159645
1-EGSKWPWAPG,834611,821297,22.33071463,114.1607903
1-EGSPBPEEPG,834808,821458,22.33216873,114.1627024
1-EGSPBPEJPY,835891,821206,22.3298936,114.1732149
1-EGSPGPWJPG,834605,821244,22.330236,114.1607321
1-EGSPGPYXPK,833940,822221,22.33905811,114.1542757
1-EGSPPPSVPG,834733,821296,22.33070571,114.1619745
1-EGSPPPYXPG,834946,821382,22.33148252,114.164042
1-EGSPWPKAPG,834520,821142,22.3293148,114.1599071
1-EGSPWPYOPG,834545,821020,22.3282131,114.1601499
1-EGSSBPAJPD,834935,820903,22.32715686,114.1639356
1-EGSSBPYHPG,834595,820934,22.32743651,114.1606353
1-EGSSGPEHPG,834749,821511,22.3326473,114.1621296
1-EGSSPPAAPG,834522,820956,22.32763511,114.1599267
1-EGSSWPERPG,834365,821047,22.32845673,114.1584027
1-EGSSWPPSPK,834354,821958,22.33668358,114.1582949
1-EGSWBPAXPG,834570,821248,22.33027209,114.1603924
1-EGSWBPERPD,835165,821082,22.3287735,114.166168
1-EGSWGPWAPK,834288,821996,22.33702666,114.1576541
1-EGSWPPERPG,834950,821298,22.33072395,114.1640809
1-EGSWPPPYPD,835128,820890,22.3270396,114.165809
1-EGSYBPBXPG,834988,821313,22.33085944,114.1644497
1-EGSYPPSXPK,834292,822012,22.33717116,114.1576929
1-EGSYWPAHPD,834915,820960,22.32767159,114.1637414
1-EGSYWPDOPG,834956,821374,22.33141028,114.164139
1-EGWABPKRPD,834794,820914,22.32725608,114.162567
1-EGWABPPRPD,834944,821087,22.3288185,114.1640228
1-EGWABPSJPG,834657,821416,22.33178931,114.1612367
1-EGWAGPEXPG,834569,820863,22.32679532,114.1603831
1-EGWAPPGSPS,833787,822235,22.33918432,114.1527905
1-EGWAPPPAPK,834621,821809,22.3353383,114.1608868
1-EGWAWPYAPK,834360,821915,22.33629527,114.1583531
1-EGWBBPSJPG,834908,821245,22.3302453,114.1636732
1-EGWBGPGEPG,834710,821017,22.32818616,114.1617515
1-EGWBGPWRPD,835090,820891,22.32704861,114.1654401
1-EGWBPPAXPD,835059,821206,22.32989322,114.165139
1-EGWBPPERPD,834966,821168,22.32954999,114.1642363
1-EGWBPPWJPD,835137,821352,22.33121174,114.165896
1-EGWBWPBXPS,833769,822251,22.33932879,114.1526157
1-EGWBWPSHPG,834843,821352,22.33121152,114.1630422
1-EGWDBPARPD,834901,820927,22.32737357,114.1636056
1-EGWDBPWHPG,834649,821205,22.32988385,114.1611592
1-EGWDGPSRPD,835188,820978,22.32783433,114.1663913
1-EGWDGPYJPD,835120,821080,22.32875541,114.1657312
1-EGWDPPEXPG,834967,821287,22.33062463,114.1642459
1-EGWDPPPSPB,834629,821439,22.33199699,114.1609649
1-EGWDWPBJPS,833773,822248,22.3393017,114.1526545
1-EGWDWPEOPG,834578,820913,22.32724686,114.1604704
1-EGWDWPSXPG,834836,821358,22.3312657,114.1629742
1-EGWEBPKJPY,835869,821056,22.32853901,114.1730014
1-EGWEGPERPD,835149,821092,22.32886379,114.1660127
1-EGWEPPBSPS,833803,822256,22.33937399,114.1529457
1-EGWEPPEJPD,834982,821155,22.3294326,114.1643916
1-EGWEWPAJPD,834935,820942,22.32750905,114.1639356
1-EGWEWPAOPG,834651,821276,22.33052503,114.1611786
1-EGWEWPEVPG,834604,820883,22.32697596,114.1607228
1-EGWEWPKRPK,834406,821799,22.33524777,114.1587998
1-EGWGBPDRPB,834355,821138,22.3292785,114.1583055
1-EGWGPPPHPG,834812,821155,22.32943247,114.1627415
1-EGWGWPKJPS,833817,822244,22.33926564,114.1530817
1-EGWKGPYOPG,834501,821017,22.32818596,114.1597228
1-EGWKPPDVPG,834555,821188,22.32973024,114.1602468
1-EGWKPPDXPD,834918,820883,22.32697624,114.1637706
1-EGWKPPGRPD,835270,821174,22.32960438,114.1671871
1-EGWKWPKAPG,834489,821163,22.32950441,114.1596062
1-EGWKWPKXPS,833823,822242,22.33924759,114.1531399
1-EGWKWPPAPK,834341,821974,22.33682805,114.1581686
1-EGWKWPYJPD,834721,820875,22.32690383,114.1618584
1-EGWPBPAEPG,834658,821177,22.32963101,114.1612466
1-EGWPBPBYPD,835035,821285,22.33060662,114.1649059
1-EGWPBPDVPG,835012,821454,22.33213277,114.1646826
1-EGWPBPSXPK,834068,822192,22.33879639,114.1555183
1-EGWPPPBRPS,833808,822252,22.33933787,114.1529943
1-EGWPPPEVPG,834818,821372,22.33139211,114.1627995
1-EGWSBPDXPK,834609,821873,22.33591624,114.1607703
1-EGWSBPEJPK,834315,822037,22.33739695,114.1579162
1-EGWSBPWHPG,834683,821185,22.32970327,114.1614893
1-EGWSPPGRPS,833783,822239,22.33922044,114.1527516
1-EGWSPPYOPG,834946,821382,22.33148252,114.164042
1-EGWSWPPSPG,834817,821223,22.33004655,114.1627899
1-EGWWBPEJPD,835159,821081,22.32876446,114.1661097
1-EGWWBPSSPG,834838,821314,22.33086835,114.1629937
1-EGWWGPGYPK,834694,821755,22.33485071,114.1615955
1-EGWWPPARPG,834415,821047,22.32845679,114.158888
1-EGWWPPSSPK,834285,822019,22.33723436,114.157625
1-EGWWPPWJPK,834244,822019,22.33723432,114.157227
1-EGWWWPBAPS,833779,822243,22.33925656,114.1527128
1-EGWWWPDAPK,834385,821847,22.33568122,114.1585959
1-EGWWWPGHPG,834706,821062,22.32859253,114.1617126
1-EGWYBPGJPD,834939,821023,22.32824054,114.1639743
1-EGWYGPASPD,834831,820985,22.32789729,114.162926
1-EGWYGPDJPK,834162,822246,22.33928416,114.1564307
1-EGWYPPWRPD,835121,821364,22.33132009,114.1657407
1-EGWYPPWSPK,834245,822013,22.33718013,114.1572367
1-EGWYWPDOPS,833791,822360,22.34031315,114.1528291
1-EGWYWPKAPD,834704,820883,22.32697606,114.1616934
1-EGWYWPKAPS,833813,822247,22.33929273,114.1530428
1-EGWYWPPEPG,834740,821291,22.33066057,114.1620425
1-EGYABPEXPK,834300,822050,22.33751433,114.1577706
1-EGYAGPEAPG,834582,820855,22.32672309,114.1605092
1-EGYAGPPAPB,834596,821467,22.33224982,114.1606445
1-EGYAPPBSPD,834750,820949,22.32757212,114.1621398
1-EGYAWPBSPS,833765,822255,22.3393649,114.1525769
1-EGYBBPGSPD,834864,820930,22.32740063,114.1632464
1-EGYBPPBOPG,834602,820848,22.32665989,114.1607034
1-EGYBWPPSPK,834337,821976,22.33684611,114.1581298
1-EGYBWPYJPK,834353,821921,22.33634944,114.1582852
1-EGYDBPAAPG,834577,821242,22.33021792,114.1604603
1-EGYDBPBAPD,835104,821386,22.33151876,114.1655756
1-EGYDGPBYPY,835973,821295,22.33069734,114.1740109
1-EGYDGPGXPG,834700,821026,22.32826743,114.1616544
1-EGYDPPARSD,835046,821206,22.32989321,114.1650128
1-EGYDPPAXPB,834667,821520,22.3327285,114.1613336
1-EGYDPPDJPK,834314,822073,22.33772205,114.1579064
1-EGYDWPAXPG,834682,821315,22.33087725,114.1614794
1-EGYEBPAXPG,834651,821190,22.3297484,114.1611787
1-EGYEBPERPK,834310,822046,22.33747822,114.1578676
1-EGYEBPPJPD,834974,821065,22.32861985,114.164314
1-EGYEGPKAPD,834755,820947,22.32755406,114.1621884
1-EGYEGPPJPG,835050,821452,22.33211474,114.1650514
1-EGYEGPSSPD,835209,820956,22.32763567,114.1665951
1-EGYEPPERPG,834807,821381,22.33147338,114.1626927
1-EGYEPPGSPG,834871,821358,22.33126573,114.163314
1-EGYEWPBHPG,834779,821248,22.33027229,114.1624211
1-EGYEWPDVPD,835177,821229,22.330101,114.1662843
1-EGYEWPKSPS,833827,822237,22.33920244,114.1531788
1-EGYEWPWSPG,834619,821291,22.33066046,114.1608679
1-EGYGPPDSPK,834322,822073,22.33772206,114.1579841
1-EGYGWPDRPG,834968,821366,22.33133805,114.1642555
1-EGYGWPKRPY,835929,821121,22.32912601,114.1735838
1-EGYGWPYXPD,834716,820878,22.32693091,114.1618099
1-EGYKPPEJPD,834973,821162,22.32949581,114.1643042
1-EGYKWPGOPG,834733,821038,22.32837582,114.1619747
1-EGYKWPYSPK,834356,821918,22.33632236,114.1583143
1-EGYPBPEXPB,834578,821567,22.33315286,114.1604697
1-EGYPBPEXPD,834967,821209,22.32992025,114.164246
1-EGYPGPBSPD,835116,821400,22.33164519,114.1656921
1-EGYPPPBSPD,834710,820891,22.32704831,114.1617516
1-EGYPWPKOPG,834511,821147,22.32935994,114.1598198
1-EGYPWPKRPS,833831,822233,22.33916632,114.1532176
1-EGYPWPSOPG,834912,821293,22.33067877,114.163712
1-EGYPWPYJPG,834543,821024,22.32824922,114.1601305
1-EGYSBPSHPG,834677,821399,22.33163581,114.1614308
1-EGYSGPSVPG,834813,821331,22.33102185,114.162751
1-EGYSGPWAPD,835115,820869,22.32684995,114.1656828
1-EGYSGPYAPD,835254,821242,22.33021845,114.1670318
1-EGYSPPAXPG,834503,820968,22.32774346,114.1597423
1-EGYSPPYJPK,834388,821851,22.33571734,114.158625
1-EGYSWPBRPS,833760,822259,22.33940102,114.1525283
1-EGYSWPEAPB,834686,821512,22.33265628,114.1615181
1-EGYSWPPSPK,834351,821962,22.3367197,114.1582657
1-EGYSWPSXPK,834652,821758,22.33487777,114.1611878
1-EGYSWPWXPD,834873,821073,22.32869201,114.1633336
1-EGYWBPBOPG,835075,821411,22.3317445,114.1652941
1-EGYWBPPYPG,834628,821352,22.33121133,114.1609552
1-EGYWBPSAPG,834871,821274,22.33050716,114.1633141
1-EGYWGPKJPY,835873,820975,22.32780753,114.1730403
1-EGYWPPDAPD,834894,820908,22.32720198,114.1635376
1-EGYWPPGAPG,834910,821404,22.33168116,114.1636925
1-EGYWPPKOPD,834861,821009,22.32811405,114.1632172
1-EGYWWPESPG,834561,820918,22.32729199,114.1603053
1-EGYYBPSAPD,835218,820950,22.32758149,114.1666825
1-EGYYBPYXPD,835220,821218,22.33000169,114.1667017
1-EGYYGPSAPG,834778,821356,22.33124759,114.1624113
1-EGYYPPDXPG,834534,821201,22.32984762,114.160043
1-EGYYPPKVPG,834863,821529,22.33280995,114.1632362
1-EGYYWPAAPY,835808,821010,22.32812359,114.1724093
1-EGYYWPGSPK,834413,821993,22.33699971,114.1588675
1-EKAABPDXPS,837454,819987,22.31888494,114.1883856
1-EKAAGPBRPA,837356,819214,22.31190435,114.1874339
1-EKAAGPWAPE,837821,820266,22.32140418,114.1919479
1-EKAAGPYXPK,837452,819393,22.31352077,114.1883657
1-EKAAPPDRPA,837132,819183,22.31162453,114.1852599
1-EKAAPPGAPK,837414,819325,22.31290671,114.1879969
1-EKAAWPAOPS,837345,819872,22.3178465,114.1873276
1-EKABGPDOPS,837395,820531,22.32379762,114.1878133
1-EKABGPKXPB,837076,818682,22.30710023,114.1847161
1-EKABGPWXPE,837826,820278,22.32151255,114.1919965
1-EKABGPYAPE,837523,819666,22.31598607,114.1890551
1-EKABWPEXPE,837459,819741,22.31666341,114.1884339
1-EKADGPDAPE,837886,820215,22.32094356,114.1925788
1-EKADGPGRPK,837414,819302,22.31269901,114.1879969
1-EKADGPGSPE,838023,820060,22.31954369,114.1939084
1-EKADGPYXPE,837531,819674,22.31605831,114.1891327
1-EKAEBPDVPS,837454,819987,22.31888494,114.1883856
1-EKAEGPWRPE,837818,820261,22.32135903,114.1919188
1-EKAGBPGJPA,837303,819247,22.3122024,114.1869195
1-EKAGGPAXPB,837012,818591,22.30627847,114.1840949
1-EKAGGPBVPS,837505,820380,22.32243393,114.1888809
1-EKAGGPDRPE,837882,820208,22.32088035,114.19254
1-EKAGGPGYPS,837449,819889,22.31799995,114.188337
1-EKAGGPYJPE,837527,819670,22.31602219,114.1890939
1-EKAKGPEJPA,837289,819299,22.312672,114.1867837
1-EKAKGPWJPE,837824,820272,22.32145837,114.1919771
1-EKAKWPYAPK,837425,819367,22.31328599,114.1881037
1-EKAPGPBJPS,837471,820317,22.32186503,114.1885508
1-EKAPGPKYPB,837073,818678,22.30706411,114.184687
1-EKAPGPWXPK,837568,819414,22.31371033,114.1894916
1-EKASBPSJPK,837541,819457,22.31409866,114.1892296
1-EKASGPAYPB,837008,818586,22.30623332,114.1840561
1-EKASGPWSPE,837816,820254,22.32129582,114.1918994
1-EKASGPYRPK,837447,819395,22.31353883,114.1883172
1-EKASWPWAPK,837425,819450,22.31403553,114.1881037
1-EKASWPWSPS,837457,819993,22.31893912,114.1884147
1-EKAWBPYJPS,837484,820484,22.32337313,114.1886772
1-EKAWGPBSPE,838004,820106,22.31995911,114.193724
1-EKAWGPDXPE,837891,820227,22.32105193,114.1926273
1-EKAWGPGXPK,837463,819319,22.3128525,114.1884725
1-EKAYBPWRPK,837575,819412,22.31369226,114.1895595
1-EKAYBPYOPS,837481,820478,22.32331894,114.188648
1-EKAYGPDJPE,837888,820221,22.32099775,114.1925982
1-EKBABPWAPE,837948,820240,22.32116927,114.1931806
1-EKBAPPWRPE,837933,820192,22.32073582,114.193035
1-EKBBBPWXPE,837954,820252,22.32127763,114.1932388
1-EKBBBPYAPK,837433,819393,22.31352078,114.1881813
1-EKBBGPESPE,837692,820360,22.32225317,114.1906959
1-EKBBGPSAPS,837467,819878,22.3179006,114.1885117
1-EKBBPPEHPS,837454,819846,22.31761163,114.1883855
1-EKBBPPWJPE,837938,820205,22.32085321,114.1930835
1-EKBBWPBSPK,837436,819324,22.31289767,114.1882104
1-EKBDBPGSPE,837996,820073,22.31966111,114.1936463
1-EKBDGPEAPE,837695,820369,22.32233445,114.1907251
1-EKBDGPSSPE,838096,820029,22.31926366,114.1946169
1-EKBDPPDRPE,837866,820301,22.32172021,114.1923848
1-EKBDPPKYPA,837188,819254,22.31226568,114.1858034
1-EKBDPPYJPE,837481,819730,22.31656406,114.1886475
1-EKBDWPBJPK,837430,819324,22.31289767,114.1881522
1-EKBEBPWAPK,837593,819403,22.31361097,114.1897342
1-EKBEBPWRPE,837945,820235,22.32112412,114.1931515
1-EKBEPPWSPE,837930,820186,22.32068164,114.1930058
1-EKBGBPYHPS,837479,820474,22.32328282,114.1886286
1-EKBGGPERPA,837295,819306,22.31273521,114.1868419
1-EKBGGPERPE,837692,820360,22.32225317,114.1906959
1-EKBGPPDSPE,837864,820295,22.32166603,114.1923653
1-EKBGPPWXPE,837942,820210,22.32089836,114.1931223
1-EKBGPPYAPE,837443,819721,22.31648281,114.1882786
1-EKBKBPSRPA,837152,819154,22.31136264,114.1854539
1-EKBKBPWJPE,837951,820246,22.32122345,114.1932097
1-EKBKBPYRPE,837680,819771,22.31693416,114.1905789
1-EKBKGPARPE,837508,819715,22.31642858,114.1889095
1-EKBKGPBAPK,837420,819480,22.31430645,114.1880552
1-EKBKPPWAPE,837935,820198,22.32079,114.1930544
1-EKBPBPBOPS,837428,820230,22.32107939,114.1881334
1-EKBPBPDEPS,837444,819991,22.31892107,114.1882885
1-EKBPGPBRPE,837766,820355,22.32220796,114.1914142
1-EKBPGPGJPE,838009,820072,22.31965207,114.1937725
1-EKBPPPBJPK,837541,819482,22.31432443,114.1892296
1-EKBSBPAAPS,837342,819621,22.31557982,114.1872983
1-EKBSBPDJPA,837048,818842,22.30854514,114.1844444
1-EKBSBPWSPE,837943,820229,22.32106994,114.1931321
1-EKBSGPGAPK,837430,819303,22.31270803,114.1881522
1-EKBSGPGXPE,838007,820067,22.31960692,114.1937531
1-EKBSPPDSPS,837231,819318,22.31284361,114.1862208
1-EKBSWPSSPS,837653,820278,22.3215127,114.1903173
1-EKBWBPBSPE,837763,820349,22.32215378,114.1913851
1-EKBWBPGAPE,838002,820070,22.31963402,114.1937045
1-EKBWGPPSPE,837754,820266,22.32140424,114.1912976
1-EKBWGPSAPE,838093,820023,22.31920948,114.1945877
1-EKBWGPYYPS,837394,820207,22.32087171,114.1878034
1-EKBWPPDJPE,837852,820221,22.32099778,114.1922488
1-EKBWPPWAPS,837526,820493,22.32345437,114.1890848
1-EKBYBPDAPK,837420,819298,22.31266288,114.1880551
1-EKBYBPEAPS,837425,820419,22.32278618,114.1881044
1-EKBYBPGRPE,838003,820075,22.31967917,114.1937143
1-EKBYGPEJPE,837695,820369,22.32233445,114.1907251
1-EKBYPPDAPE,837870,820307,22.32177439,114.1924236
1-EKBYPPYEPA,836850,818722,22.30746154,114.1825228
1-EKBYPPYXPE,837477,819732,22.31658212,114.1886086
1-EKBYWPKSPK,837535,819485,22.31435152,114.1891714
1-EKBYWPPSPS,837269,819932,22.31838838,114.18659
1-EKDABPASPE,837737,820353,22.32218992,114.1911327
1-EKDABPGSPK,837452,819303,22.31270801,114.1883657
1-EKDABPYAPS,837475,820466,22.32321058,114.1885898
1-EKDAGPPXPE,837762,820328,22.32196413,114.1913753
1-EKDAPPBJPE,837792,820265,22.32139518,114.1916665
1-EKDAPPEXPK,837425,819450,22.31403553,114.1881037
1-EKDAWPSRPA,836872,818773,22.3079221,114.1827363
1-EKDBBPAAPE,837742,820366,22.32230731,114.1911813
1-EKDBBPGJPK,837446,819301,22.31268996,114.1883074
1-EKDBPPKJPE,837474,819774,22.31696141,114.1885796
1-EKDDBPEAPE,837675,820323,22.32191905,114.1905309
1-EKDDBPSSPE,838100,820053,22.31948039,114.1946557
1-EKDDGPGAPS,837451,819895,22.31805413,114.1883564
1-EKDDGPKOPS,837323,819857,22.31771105,114.187114
1-EKDDPPERPE,837982,820233,22.32110602,114.1935106
1-EKDDPPPRPK,837425,819275,22.31245518,114.1881036
1-EKDDPPYAPA,836837,818731,22.30754282,114.1823966
1-EKDDWPGRPA,837090,819084,22.31073052,114.1848522
1-EKDDWPGRPE,837840,820243,22.32119646,114.1921323
1-EKDEBPDJPK,837430,819298,22.31266288,114.1881522
1-EKDEGPAXPS,837347,819678,22.31609456,114.1873469
1-EKDEGPPJPE,837758,820322,22.32190995,114.1913365
1-EKDEPPBAPE,837788,820259,22.321341,114.1916276
1-EKDEWPKRPK,837530,819488,22.31437862,114.1891229
1-EKDEWPYSPE,837993,820192,22.32073576,114.1936173
1-EKDGBPBSPK,837407,819464,22.31416197,114.187929
1-EKDGBPYHPE,837729,819818,22.31735856,114.1910546
1-EKDGPPESPE,837979,820227,22.32105184,114.1934815
1-EKDGPPPJPA,836960,818636,22.30668487,114.1835903
1-EKDGWPGSPE,837837,820238,22.32115131,114.1921032
1-EKDKBPARPE,837740,820359,22.3222441,114.1911618
1-EKDKGPYXPS,837517,820561,22.32406846,114.1889975
1-EKDKPPBXPE,837795,820272,22.32145839,114.1916956
1-EKDKWPGEPS,837625,820266,22.32140435,114.1900455
1-EKDPBPBRPE,837744,820308,22.32178354,114.1912006
1-EKDPBPDSPK,837436,819296,22.31264481,114.1882104
1-EKDPBPKXPG,837342,820155,22.32040216,114.1872986
1-EKDPGPGXPA,837315,819228,22.31203081,114.187036
1-EKDPGPPRPE,837753,820311,22.32181062,114.191288
1-EKDPGPSJPE,838097,820048,22.31943524,114.1946266
1-EKDPPPDXPE,837848,820261,22.32135901,114.19221
1-EKDPPPGAPE,837675,819738,22.31663616,114.1905304
1-EKDSBPBAPE,837747,820314,22.32183772,114.1912297
1-EKDSBPDVPA,837043,818847,22.30859029,114.1843959
1-EKDSBPGXPE,837979,820080,22.31972434,114.1934813
1-EKDSGPAVPS,837349,819671,22.31603134,114.1873663
1-EKDSGPKJPK,837393,819430,22.31385494,114.1877931
1-EKDSGPPAPE,837757,820317,22.3218648,114.1913268
1-EKDSGPSXPE,838095,820042,22.31938106,114.1946072
